wave,region,name,value,id
0,Drie grote steden,Politici maken zich niet druk om mensen zoals ik,6.335714285714285,Legitimiteit van Politiek
0,Drie grote steden,Politici zijn alleen maar geïnteresseerd in mijn stem,6.535714285714286,Legitimiteit van Politiek
0,Drie grote steden,Politici beloven meer dan ze kunnen waarmaken,7.557142857142857,Legitimiteit van Politiek
0,Drie grote steden,Kamerlid word je door je politieke vrienden,6.585714285714285,Legitimiteit van Politiek
0,Drie grote steden,De meeste politici zijn bekwame mensen die weten wat ze doen,6.307142857142857,Legitimiteit van Politiek
0,Drie grote steden,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.714285714285714,Legitimiteit van Politiek
0,Drie grote steden,Het sluiten van compromissen is het verraden van je principes,6.078571428571428,Legitimiteit van Politiek
0,Drie grote steden,Een sterke regeringsleider is goed voor Nederland,6.75,Legitimiteit van Politiek
0,Drie grote steden,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.142857142857143,Legitimiteit van Politiek
0,Drie grote steden,Rechtspraak,6.122302158273381,Vertrouwen in Instituties
0,Drie grote steden,Journalistiek,5.5359712230215825,Vertrouwen in Instituties
0,Drie grote steden,Regering,5.205035971223022,Vertrouwen in Instituties
0,Drie grote steden,Tweede Kamer,5.525179856115108,Vertrouwen in Instituties
0,Drie grote steden,Europese Unie,4.953237410071942,Vertrouwen in Instituties
0,Drie grote steden,Politieke Partijen,4.920863309352518,Vertrouwen in Instituties
0,Drie grote steden,Politici,4.920863309352518,Vertrouwen in Instituties
0,Drie grote steden,Nederlandse Democratie,5.805755395683454,Vertrouwen in Instituties
0,Drie grote steden,Wetenschap,7.100719424460432,Vertrouwen in Instituties
0,Drie grote steden,Grote Bedrijven,4.683453237410072,Vertrouwen in Instituties
0,Drie grote steden,Banken,4.726618705035971,Vertrouwen in Instituties
0,Noorden,Politici maken zich niet druk om mensen zoals ik,7.018691588785047,Legitimiteit van Politiek
0,Noorden,Politici zijn alleen maar geïnteresseerd in mijn stem,7.121495327102804,Legitimiteit van Politiek
0,Noorden,Politici beloven meer dan ze kunnen waarmaken,7.775700934579439,Legitimiteit van Politiek
0,Noorden,Kamerlid word je door je politieke vrienden,6.364485981308412,Legitimiteit van Politiek
0,Noorden,De meeste politici zijn bekwame mensen die weten wat ze doen,6.037383177570093,Legitimiteit van Politiek
0,Noorden,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.485981308411215,Legitimiteit van Politiek
0,Noorden,Het sluiten van compromissen is het verraden van je principes,6.289719626168225,Legitimiteit van Politiek
0,Noorden,Een sterke regeringsleider is goed voor Nederland,6.757009345794392,Legitimiteit van Politiek
0,Noorden,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.317757009345795,Legitimiteit van Politiek
0,Noorden,Rechtspraak,5.981308411214953,Vertrouwen in Instituties
0,Noorden,Journalistiek,5.121495327102804,Vertrouwen in Instituties
0,Noorden,Regering,4.962616822429907,Vertrouwen in Instituties
0,Noorden,Tweede Kamer,5.11214953271028,Vertrouwen in Instituties
